resource_id,title,fields,granularity,months,years,start_year,end_year,year_span,duration_type,region,category
18a98a9d-f151-4492-9e6b-e6e68f02ebed,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during June 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['june'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
da3738d2-aa43-44be-a58c-ea01f9632ff9,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during July 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['july'],[1982],1982,1982,1,specific_month,,rainfall
a4183278-7962-4e15-9e82-a3e1f1a654cb,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during August 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['august'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
077794c5-6440-4c9b-a23f-0f6e057f00c4,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during August 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['august'],[1982],1982,1982,1,specific_month,,rainfall
95420fe5-67b7-40a5-ba11-8e0a8e4c5f23,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during September 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['september'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
4387f6c9-9137-4e81-87f3-d56b91a1d20c,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during September 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['september'],[1982],1982,1982,1,specific_month,,rainfall
f4fb9f60-99d2-4e16-91aa-bf461970c6c2,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during October 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['october'],[1982],1982,1982,1,specific_month,,rainfall
3c133a57-1815-4e4a-a875-2fe43be2aea3,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during October 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['october'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
3190f6a4-6d31-4a58-afbe-20f07e1f7b1e,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during November 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['november'],[1982],1982,1982,1,specific_month,,rainfall
7cf45865-1e64-4d36-ae93-a75d885b17b5,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during November 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['november'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
f8aaebde-4ee6-407a-8b7f-1e29467d6c6c,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during December 1982,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['december'],[1982],1982,1982,1,specific_month,,rainfall
6b6b8898-6163-4d5c-b866-d249450ae4f0,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 1983,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[1983],1983,1983,1,specific_month,,rainfall
a832ad4c-dec2-4ae7-af48-f12b9a8f2601,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during December 1982,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['december'],[1982],1982,1982,1,specific_month,sub-basin,rainfall
a94dcccf-028d-4a96-be31-9d280549858f,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during January 1983,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['january'],[1983],1983,1983,1,specific_month,sub-basin,rainfall
ba28528a-ada4-4323-a021-9f58440c829b,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 1983,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[1983],1983,1983,1,specific_month,,rainfall
609b54dd-f48b-4dab-9557-c5a00b3dc3a6,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 1983,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[1983],1983,1983,1,specific_month,sub-basin,rainfall
505ea1b5-d905-4286-a874-45fec78d60d4,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during February 1983,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['february'],[1983],1983,1983,1,specific_month,,rainfall
dc22cc8f-bcb7-4fe8-b9a3-a6957cf23f7b,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during April 1983,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['april'],[1983],1983,1983,1,specific_month,,rainfall
cf31e64e-810f-4f2a-a897-eecfc49b6c54,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during March 1983,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['march'],[1983],1983,1983,1,specific_month,sub-basin,rainfall
acb4377a-cadf-456e-ad25-d3d707ff01ea,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during April 1983,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['april'],[1983],1983,1983,1,specific_month,sub-basin,rainfall
bac82c01-4dd5-402b-86a6-811c037bd7f8,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during May 1983,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['may'],[1983],1983,1983,1,specific_month,,rainfall
e17d62f0-49e7-4bc8-80b4-44073e25bf96,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during June 1983,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['june'],[1983],1983,1983,1,specific_month,,rainfall
